t,f,rocof,V_dc,P_mppt,P_vic,P_ref,P_inj,P_bess,SOC,alpha,beta,H_eff
0.0,50.00000260040506,0.05200810124882337,1200.0,124790.16202497647,0.0,124790.16202497647,124790.16202497647,0.0,0.6,1.0,0.0,1.0
0.001,50.00005458126531,0.05188987565066435,1200.0,124790.16202497647,-0.13426258596385118,124788.4473476574,124788.4473476574,-1040.1620249764674,0.600000005489744,0.9843381185176268,0.0015193928399140752,1.0101292857847846
0.002,50.000106405439354,0.05176345295070848,1200.0,124790.16202497647,-0.5161822137600853,124786.5667748479,124786.5667748479,-1040.1620249764674,0.600000010979488,0.9699328610249247,0.002960181049556224,1.0197345410526253
0.003,50.000158099031026,0.051629172454338394,1200.0,124790.16202497647,-1.133877732632877,124784.5274187418,124784.5274187418,-1040.1620249764674,0.600000016469232,0.9566517220008305,0.004326949450148456,1.0288463312512461
0.004,50.000209654399974,0.05148744881222692,1200.0,124790.16202497647,-1.975644607630238,124782.33747658873,124782.33747658873,-1040.1620249764674,0.600000021958976,0.9443883877473663,0.0056230699060863705,1.0374871354511728
0.005,50.000261064321556,0.051338698234810146,1200.0,124790.16202497647,-3.0298969904071416,124780.00518202924,124780.00518202924,-1040.1620249764674,0.6000000274487199,0.9330493751019284,0.0068517651920433145,1.0456784387930043
0.006,50.000312321987025,0.05118333599509324,1200.0,124790.16202497647,-4.285210683214472,124777.53875515464,124777.53875515464,-1040.1620249764674,0.6000000329384639,0.9225521428169173,0.008016115699664508,1.0534407771986205
0.007,50.00036342100145,0.05102177426918334,1200.0,124790.16202497647,-5.7303596943431145,124774.94635929288,124774.94635929288,-1040.1620249764674,0.6000000384282079,0.9128235272549158,0.009119065839254923,1.0607937800490195
0.008,50.00041435537958,0.05085442027952808,1200.0,124790.16202497647,-7.354347070899375,124772.23606382265,124772.23606382265,-1040.1620249764674,0.6000000439179519,0.9037984392520046,0.010163430147480546,1.0677562109022503
0.009,50.00046511954017,0.0506816747089919,1200.0,124790.16202497647,-9.146430628018829,124769.41581238528,124769.41581238528,-1040.1620249764674,0.6000000494076959,0.895418772672452,0.011151899112462749,1.0743460063273012
0.01,50.00051570829854,0.050503930357392965,1200.0,124790.16202497647,-11.096144133227092,124766.49339592317,124766.49339592317,-1040.1620249764674,0.6000000548974399,0.8876324856069218,0.012087044727814831,1.080580312930942
0.011,50.000566116858145,0.05032157101420617,1200.0,124790.16202497647,-13.19331445001155,124763.47643002903,124763.47643002903,-1040.1620249764674,0.6000000603871839,0.8803928231856558,0.012971325787193419,1.0864755226546672
0.012,50.00061634080119,0.05013497052405132,1200.0,124790.16202497647,-15.428075095236117,124760.37233613926,124760.37233613926,-1040.1620249764674,0.6000000658769279,0.873657657190987,0.013807092930836411,1.092047306418222
0.013,50.00066637607806,0.04994449202408469,1200.0,124790.16202497647,-17.7908766202985,124757.18832614986,124757.18832614986,-1040.1620249764674,0.6000000713666719,0.8673889225009809,0.014596593455379685,1.0973106461849877
