t,f,rocof,V_dc,P_mppt,P_vic,P_ref,P_inj,P_bess,SOC,alpha,beta,H_eff
0,50.0000026003869,0.0520077380242277,1200,124790.154760485,0,124790.154760485,124790.154760485,0,0.6,1,0,1
0.001,50.0000545808842,0.0518895138038928,1200,124790.154760485,-0.134261641813963,124788.440106184,124788.440106184,-1040.15476048455,0.600000005489706,0.984338226179094,0.00151938222930732,1.0101292150474
0.002,50.0001064046971,0.0517630925103977,1200,124790.154760485,-0.516178563055674,124786.559556989,124786.559556989,-1040.15476048455,0.600000010979411,0.96993306446089,0.00296016040026849,1.0197344033907
0.003,50.0001580979291,0.0516288134503432,1200,124790.154760485,-1.13386967077713,124784.520225113,124784.520225113,-1040.15476048455,0.600000016469117,0.956652011031726,0.00432691929335448,1.02884613020593
0.004,50.0002096529399,0.0514870912738122,1200,124790.154760485,-1.97563049085328,124782.330307793,124782.330307793,-1040.15476048455,0.600000021958823,0.944388753500448,0.00562303074815672,1.03748687439827
0.005,50.0002610625047,0.0513383421904451,1200,124790.154760485,-3.02987523933116,124779.998038654,124779.998038654,-1040.15476048455,0.600000027448528,0.933049809810312,0.00685171751566861,1.04567812095045
0.006,50.0003123198149,0.0511829814721535,1200,124790.154760485,-4.28517978556235,124777.531637766,124777.531637766,-1040.15476048455,0.600000032938234,0.92255263965428,0.00801605996493072,1.05344040563365
0.007,50.0003634184756,0.0510214212937718,1200,124790.154760485,-5.73031820689559,124774.939268432,124774.939268432,-1040.15476048455,0.60000003842794,0.912824080198773,0.00911900248466779,1.060793357685
0.008,50.0004143525016,0.050854068876275,1200,124790.154760485,-7.35429362079406,124772.229000003,124772.229000003,-1040.15476048455,0.600000043917645,0.90379904296996,0.0101633595909442,1.0677557405252
0.009,50.0004651163116,0.0506813249010043,1200,124790.154760485,-9.14636391347334,124769.408776087,124769.408776087,-1040.15476048455,0.600000049407351,0.895419422427078,0.0111518217522139,1.07434549059214
0.01,50.000515704721,0.0505035821661071,1200,124790.154760485,-11.0960629237604,124766.486387596,124766.486387596,-1040.15476048455,0.600000054897057,0.887633177175829,0.0120869609433143,1.0805797543674
0.011,50.0005661129333,0.0503212244592624,1200,124790.154760485,-13.1932175862319,124763.469450086,124763.469450086,-1040.15476048455,0.600000060386763,0.88039355279402,0.0129712359399746,1.08647492367297
0.012,50.0006163365306,0.0501346256233429,1200,124790.154760485,-15.4279614882555,124760.365384959,124760.365384959,-1040.15476048455,0.600000065876468,0.87365842145433,0.0138069973653163,1.09204666931447
0.013,50.0006663714635,0.0499441487936689,1200,124790.154760485,-17.7907452508262,124757.181404074,124757.181404074,-1040.15476048455,0.600000071366174,0.867389718376455,0.0145964924996319,1.09730997314635
0.014,50.0007162140395,0.0497501457877665,1200,124790.154760485,-20.272344102612,124753.924497408,124753.924497408,-1040.15476048455,0.60000007685588,0.861552958948392,0.0153418698644719,1.10227915863233
0.015,50.000765860912,0.0495529566303399,1200,124790.154760485,-22.8638629799954,124750.601423409,124750.601423409,-1040.15476048455,0.600000082345585,0.856116823366388,0.0160451835917536,1.10696791997281
0.016,50.000815309068,0.0493529091979208,1200,124790.154760485,-25.5567394527436,124747.21870174,124747.21870174,-1040.15476048455,0.600000087835291,0.851052798036471,0.0167083975882609,1.11138934986813
0.017,50.0008645558159,0.0491503189690154,1200,124790.154760485,-28.3427447449335,124743.78260813,124743.78260813,-1040.15476048455,0.600000093324997,0.846334864894805,0.0173333895055178,1.11555596598432
0.018,50.000913598773,0.0489454888671342,1200,124790.154760485,-31.2139830936029,124740.299171075,124740.299171075,-1040.15476048455,0.600000098814702,0.84193923134345,0.0179219545246281,1.11947973618537
0.019,50.0009624358529,0.0487387091852411,1200,124790.154760485,-34.1628896630156,124736.774170173,124736.774170173,-1040.15476048455,0.600000104304408,0.837844094742475,0.0184758089652613,1.12317210259305
0.02,50.0010110652527,0.0485302575813786,1200,124790.154760485,-37.1822272101831,124733.213135876,124733.213135876,-1040.15476048455,0.600000109794114,0.834029436410088,0.0189965937275631,1.12664400453297
0.021,50.0010594854409,0.0483203991361976,1200,124790.154760485,-40.2650816771472,124729.621350485,124729.621350485,-1040.15476048455,0.600000115283819,0.830476840907483,0.0194858775753514,1.1299059004225
0.022,50.0011076951441,0.0481093864640262,1200,124790.154760485,-43.4048568673054,124726.003850215,124726.003850215,-1040.15476048455,0.600000120773525,0.827169337061403,0.0199451602685644,1.13296778865372
0.023,50.0011556933354,0.0478974598701393,1200,124790.154760485,-46.5952683465745,124722.365428183,124722.365428183,-1040.15476048455,0.600000126263231,0.824091257734352,0.0203758755525257,1.13583922752184
0.024,50.0012034792216,0.0476848475473991,1200,124790.154760485,-49.8303366952641,124718.710638189,124718.710638189,-1040.15476048455,0.600000131752937,0.82122811581277,0.0207793940112136,1.13852935424692
0.025,50.0012510522316,0.0474717658062954,1200,124790.154760485,-53.1043802230422,124715.043799167,124715.043799167,-1040.15476048455,0.600000137242642,0.818566494265732,0.0211570257913452,1.14104690313447
0.026,50.0012984120043,0.0472584193331288,1200,124790.154760485,-56.4120072471659,124711.369000204,124711.369000204,-1040.15476048455,0.600000142732348,0.816093948445134,0.0215100232037307,1.14340022291771
0.027,50.0013455583774,0.0470450014714489,1200,124790.154760485,-59.7481080231207,124707.690106021,124707.690106021,-1040.15476048455,0.600000148222054,0.81379891906463,0.021839583208014,1.14559729332253
0.028,50.0013924913762,0.0468316945224535,1200,124790.154760485,-63.1078464068323,124704.010762842,124704.010762842,-1040.15476048455,0.600000153711759,0.811670654518085,0.0221468497865794,1.14764574089348
0.029,50.0014392112025,0.0466186700606198,1200,124790.154760485,-66.4866513186123,124700.334404575,124700.334404575,-1040.15476048455,0.600000159201465,0.809699141386478,0.0224329162130996,1.14955285411744
0.03,50.0014857182244,0.0464060892611941,1200,124790.154760485,-69.8802080708562,124696.664259222,124696.664259222,-1040.15476048455,0.600000164691171,0.807875042141112,0.0226988272208979,1.15132559787929
0.031,50.0015320129655,0.0461941032363996,1200,124790.154760485,-73.2844496141703,124693.003355482,124693.003355482,-1040.15476048455,0.600000170180876,0.806189639185733,0.0229455810760159,1.15297062728236
0.032,50.0015780960957,0.0459828533779875,1200,124790.154760485,-76.6955477499803,124689.354529473,124689.354529473,-1040.15476048455,0.600000175670582,0.804634784494613,0.0231741315596135,1.15449430086444
0.033,50.0016239684213,0.0457724717034523,1200,124790.154760485,-80.1099043516959,124685.72043154,124685.72043154,-1040.15476048455,0.600000181160288,0.803202854201264,0.0233853898640696,1.15590269323839
0.034,50.0016696308757,0.0455630812041487,1200,124790.154760485,-83.5241426311328,124682.103533103,124682.103533103,-1040.15476048455,0.600000186649993,0.801886707575846,0.0235802264069175,1.15720160718505
0.035,50.0017150845108,0.0453547961934316,1200,124790.154760485,-86.9350984820438,124678.506133506,124678.506133506,-1040.15476048455,0.600000192139699,0.800679649900848,0.0237594725665207,1.15839658522438
0.036,50.0017603304885,0.0451477226531087,1200,124790.154760485,-90.3398119282553,124674.930366842,124674.930366842,-1040.15476048455,0.600000197629405,0.799575398816065,0.0239239223431843,1.15949292068953
