param,value,mode_idx,real,imag,omega_n,damping,scheme
omega_dot_ref,3.141592653589793,1,-50.0000000000001,0.0,50.0000000000001,1.0,C1
omega_dot_ref,3.141592653589793,2,-33.963439563472086,-14.377089500149234,36.881105317993416,0.9208899589813033,C1
omega_dot_ref,3.141592653589793,3,-33.963439563472086,14.377089500149234,36.881105317993416,0.9208899589813033,C1
omega_dot_ref,3.141592653589793,4,-2.5731208730557498,0.0,2.5731208730557498,1.0,C1
omega_dot_ref,3.141592653589793,5,0.0,0.0,0.0,1.0,C1
omega_dot_ref,4.71238898038469,1,-50.0000000000001,0.0,50.0000000000001,1.0,C1
omega_dot_ref,4.71238898038469,2,-33.963439563472086,-14.377089500149234,36.881105317993416,0.9208899589813033,C1
omega_dot_ref,4.71238898038469,3,-33.963439563472086,14.377089500149234,36.881105317993416,0.9208899589813033,C1
omega_dot_ref,4.71238898038469,4,-2.5731208730557498,0.0,2.5731208730557498,1.0,C1
omega_dot_ref,4.71238898038469,5,0.0,0.0,0.0,1.0,C1
omega_dot_ref,6.283185307179586,1,-50.0000000000001,0.0,50.0000000000001,1.0,C1
omega_dot_ref,6.283185307179586,2,-33.963439563472086,-14.377089500149234,36.881105317993416,0.9208899589813033,C1
omega_dot_ref,6.283185307179586,3,-33.963439563472086,14.377089500149234,36.881105317993416,0.9208899589813033,C1
omega_dot_ref,6.283185307179586,4,-2.5731208730557498,0.0,2.5731208730557498,1.0,C1
omega_dot_ref,6.283185307179586,5,0.0,0.0,0.0,1.0,C1
omega_dot_ref,7.853981633974483,1,-50.0000000000001,0.0,50.0000000000001,1.0,C1
omega_dot_ref,7.853981633974483,2,-33.963439563472086,-14.377089500149234,36.881105317993416,0.9208899589813033,C1
omega_dot_ref,7.853981633974483,3,-33.963439563472086,14.377089500149234,36.881105317993416,0.9208899589813033,C1
omega_dot_ref,7.853981633974483,4,-2.5731208730557498,0.0,2.5731208730557498,1.0,C1
omega_dot_ref,7.853981633974483,5,0.0,0.0,0.0,1.0,C1
omega_dot_ref,9.42477796076938,1,-50.0000000000001,0.0,50.0000000000001,1.0,C1
omega_dot_ref,9.42477796076938,2,-33.963439563472086,-14.377089500149234,36.881105317993416,0.9208899589813033,C1
omega_dot_ref,9.42477796076938,3,-33.963439563472086,14.377089500149234,36.881105317993416,0.9208899589813033,C1
omega_dot_ref,9.42477796076938,4,-2.5731208730557498,0.0,2.5731208730557498,1.0,C1
omega_dot_ref,9.42477796076938,5,0.0,0.0,0.0,1.0,C1
omega_dot_ref,10.995574287564276,1,-50.0000000000001,0.0,50.0000000000001,1.0,C1
omega_dot_ref,10.995574287564276,2,-33.963439563472086,-14.377089500149234,36.881105317993416,0.9208899589813033,C1
omega_dot_ref,10.995574287564276,3,-33.963439563472086,14.377089500149234,36.881105317993416,0.9208899589813033,C1
omega_dot_ref,10.995574287564276,4,-2.5731208730557498,0.0,2.5731208730557498,1.0,C1
omega_dot_ref,10.995574287564276,5,0.0,0.0,0.0,1.0,C1
omega_dot_ref,12.566370614359172,1,-50.0000000000001,0.0,50.0000000000001,1.0,C1
omega_dot_ref,12.566370614359172,2,-33.963439563472086,-14.377089500149234,36.881105317993416,0.9208899589813033,C1
omega_dot_ref,12.566370614359172,3,-33.963439563472086,14.377089500149234,36.881105317993416,0.9208899589813033,C1
omega_dot_ref,12.566370614359172,4,-2.5731208730557498,0.0,2.5731208730557498,1.0,C1
omega_dot_ref,12.566370614359172,5,0.0,0.0,0.0,1.0,C1
omega_dot_ref,14.137166941154069,1,-50.0000000000001,0.0,50.0000000000001,1.0,C1
omega_dot_ref,14.137166941154069,2,-33.963439563472086,-14.377089500149234,36.881105317993416,0.9208899589813033,C1
omega_dot_ref,14.137166941154069,3,-33.963439563472086,14.377089500149234,36.881105317993416,0.9208899589813033,C1
omega_dot_ref,14.137166941154069,4,-2.5731208730557498,0.0,2.5731208730557498,1.0,C1
omega_dot_ref,14.137166941154069,5,0.0,0.0,0.0,1.0,C1
omega_dot_ref,15.707963267948966,1,-50.0000000000001,0.0,50.0000000000001,1.0,C1
omega_dot_ref,15.707963267948966,2,-33.963439563472086,-14.377089500149234,36.881105317993416,0.9208899589813033,C1
omega_dot_ref,15.707963267948966,3,-33.963439563472086,14.377089500149234,36.881105317993416,0.9208899589813033,C1
omega_dot_ref,15.707963267948966,4,-2.5731208730557498,0.0,2.5731208730557498,1.0,C1
omega_dot_ref,15.707963267948966,5,0.0,0.0,0.0,1.0,C1
omega_dot_ref,17.27875959474386,1,-50.0000000000001,0.0,50.0000000000001,1.0,C1
omega_dot_ref,17.27875959474386,2,-33.963439563472086,-14.377089500149234,36.881105317993416,0.9208899589813033,C1
omega_dot_ref,17.27875959474386,3,-33.963439563472086,14.377089500149234,36.881105317993416,0.9208899589813033,C1
omega_dot_ref,17.27875959474386,4,-2.5731208730557498,0.0,2.5731208730557498,1.0,C1
omega_dot_ref,17.27875959474386,5,0.0,0.0,0.0,1.0,C1
omega_dot_ref,18.84955592153876,1,-50.0000000000001,0.0,50.0000000000001,1.0,C1
omega_dot_ref,18.84955592153876,2,-33.963439563472086,-14.377089500149234,36.881105317993416,0.9208899589813033,C1
omega_dot_ref,18.84955592153876,3,-33.963439563472086,14.377089500149234,36.881105317993416,0.9208899589813033,C1
omega_dot_ref,18.84955592153876,4,-2.5731208730557498,0.0,2.5731208730557498,1.0,C1
omega_dot_ref,18.84955592153876,5,0.0,0.0,0.0,1.0,C1
omega_dot_ref,3.141592653589793,1,-50.000000000000014,0.0,50.000000000000014,1.0,C2
omega_dot_ref,3.141592653589793,2,-33.96343955633776,-14.37708959527279,36.8811053485048,0.9208899580260187,C2
omega_dot_ref,3.141592653589793,3,-33.96343955633776,14.37708959527279,36.8811053485048,0.9208899580260187,C2
omega_dot_ref,3.141592653589793,4,-2.5731208873244356,0.0,2.5731208873244356,1.0,C2
omega_dot_ref,3.141592653589793,5,0.0,0.0,0.0,1.0,C2
omega_dot_ref,4.71238898038469,1,-50.000000000000036,0.0,50.000000000000036,1.0,C2
