run_id,scheme,SCR,H_sys,D_sys,dP_pu,SOC0,gain_scale,rocof,dfmax,settling,settling_loose,df_end,bess_throughput_kWh,pinj_p2p_steady_kW,soc_end
1,C0_no_vic,7.112216111605365,1.9881480135514442,1.5185445675389344,0.06763632345838655,0.5536990449142529,0.8881442752704523,0.018075116984377342,2.651776716758519,NaN,NaN,2.651776716758519,0.0,0.0,0.5536990449142529
1,C1_const_vic,7.112216111605365,1.9881480135514442,1.5185445675389344,0.06763632345838655,0.5536990449142529,0.8881442752704523,0.1164088487236369,0.06913834617301262,0.22275,0.0,0.037072333118352674,0.023676486640230768,5.268662062007934e-8,0.5541489401158058
1,C2_fuzzy_vic,7.112216111605365,1.9881480135514442,1.5185445675389344,0.06763632345838655,0.5536990449142529,0.8881442752704523,0.11380459399418887,0.06680017973562258,0.18730000000000002,0.0,0.03640623871292803,0.023144286107770046,3.2193740480579436e-8,0.5541388275624594
1,C3_adapt_vic,7.112216111605365,1.9881480135514442,1.5185445675389344,0.06763632345838655,0.5536990449142529,0.8881442752704523,0.11297556531758336,0.06481572586202589,0.15450000000000008,0.0,0.03579124519657029,0.02267325171958699,1.118524232879281e-8,0.5541298772224883
1,C4_proposed,7.112216111605365,1.9881480135514442,1.5185445675389344,0.06763632345838655,0.5536990449142529,0.8881442752704523,0.2585004537974098,0.14353296296588525,NaN,0.0,0.09761387564761748,0.054558541207214775,5.197151711035986e-5,0.5547357631487709
2,C0_no_vic,2.5197710649073373,3.402139138962246,1.2722712117777943,0.06119653270294981,0.42610083578794195,0.8310989535169448,0.29737952641767124,2.9011874130579614,NaN,NaN,2.9011874130579614,0.0,0.0,0.42610083578794195
2,C1_const_vic,2.5197710649073373,3.402139138962246,1.2722712117777943,0.06119653270294981,0.42610083578794195,0.8310989535169448,0.09712713550953814,0.06928798102607203,0.29974999999999996,0.0,0.04016643885027804,0.02483186016030814,3.375317464815453e-7,0.42657268653075303
2,C2_fuzzy_vic,2.5197710649073373,3.402139138962246,1.2722712117777943,0.06119653270294981,0.42610083578794195,0.8310989535169448,0.09532633093854762,0.06713786109218489,0.25459999999999994,0.0,0.03944919916178691,0.024308182830614488,2.1371546608861537e-7,0.4265627358642182
2,C3_adapt_vic,2.5197710649073373,3.402139138962246,1.2722712117777943,0.06119653270294981,0.42610083578794195,0.8310989535169448,0.09497115252123925,0.0652982739460981,0.21234999999999982,0.0,0.03878783097935923,0.02384109237150729,8.688196248840541e-8,0.4265538604097058
2,C4_proposed,2.5197710649073373,3.402139138962246,1.2722712117777943,0.06119653270294981,0.42610083578794195,0.8310989535169448,0.23371981132150646,0.1675760588951718,NaN,0.0,0.11788625236269468,0.06339276440327318,7.826965152344201e-5,0.42730542353573975
3,C0_no_vic,7.744473688992394,5.325159367432082,1.153409242157208,0.12370705524858236,0.7547836153562655,1.1650559202399642,0.01994116746189432,1.2521517092515353,NaN,NaN,1.1747448188803062,0.0,0.0,0.7547836153562655
3,C1_const_vic,7.744473688992394,5.325159367432082,1.153409242157208,0.12370705524858236,0.7547836153562655,1.1650559202399642,0.0042751148507136315,0.00048731826013437285,0.0,0.0,1.702679973902832e-6,0.015427287683685528,6.337163617718034e-5,0.7550767484367411
3,C2_fuzzy_vic,7.744473688992394,5.325159367432082,1.153409242157208,0.12370705524858236,0.7547836153562655,1.1650559202399642,0.0042489492808783745,0.00048798648392534005,0.0,0.0,1.689051856601509e-6,0.015427287683685528,6.286629328678828e-5,0.7550767484367411
3,C3_adapt_vic,7.744473688992394,5.325159367432082,1.153409242157208,0.12370705524858236,0.7547836153562655,1.1650559202399642,0.004224992783790068,0.000488646298151707,0.0,0.0,1.675373034970562e-6,0.015427287683685528,6.235970351553988e-5,0.7550767484367411
3,C4_proposed,7.744473688992394,5.325159367432082,1.153409242157208,0.12370705524858236,0.7547836153562655,1.1650559202399642,0.3569141299464459,0.15297726728056205,1.2086999999999999,0.0,0.04810411190440789,0.03739872585817784,1.6967871270026082e-5,0.7554942453200253
4,C0_no_vic,4.949016636586683,5.801100502858526,4.951966951502763,0.0758120100616233,0.5777949908534545,1.0098012292635974,0.05335638401440685,0.8598228063231943,NaN,NaN,0.7472393562947204,0.0,0.0,0.5777949908534545
4,C1_const_vic,4.949016636586683,5.801100502858526,4.951966951502763,0.0758120100616233,0.5777949908534545,1.0098012292635974,0.002375146026949435,0.0002713605662734153,0.0,0.0,3.3160422674427537e-7,0.025403925377473255,1.418570896203164e-5,0.5782777084879858
4,C2_fuzzy_vic,4.949016636586683,5.801100502858526,4.951966951502763,0.0758120100616233,0.5777949908534545,1.0098012292635974,0.0023686856503246623,0.00027163772639937633,0.0,0.0,3.3065010285326935e-7,0.025403925377473255,1.414494658820331e-5,0.5782777084879858
4,C3_adapt_vic,4.949016636586683,5.801100502858526,4.951966951502763,0.0758120100616233,0.5777949908534545,1.0098012292635974,0.002362724116764523,0.00027191174024920883,0.0,0.0,3.29688361944136e-7,0.025403925377473255,1.4103916924796067e-5,0.5782777084879858
4,C4_proposed,4.949016636586683,5.801100502858526,4.951966951502763,0.0758120100616233,0.5777949908534545,1.0098012292635974,0.18857091881230287,0.13145228949200316,NaN,0.0,0.0831540286578587,0.047998625507223315,0.00011778594402130694,0.5787070561873822
5,C0_no_vic,6.2343783132659105,3.137106659412668,1.5123673736160104,0.09533377951931649,0.7606172767455752,0.896740561130285,0.029502317976337594,1.8756807929624415,NaN,NaN,1.7889224124318517,0.0,0.0,0.7606172767455752
5,C1_const_vic,6.2343783132659105,3.137106659412668,1.5123673736160104,0.09533377951931649,0.7606172767455752,0.896740561130285,0.15240215404141097,0.0691193172625546,0.14029999999999987,0.0,0.024258977345311905,0.0186116920156904,3.535762371029705e-7,0.7609709264626214
