t_s,G_W_m2,T_cell_C
0.0,0.0,22.89
3600.0,0.0,22.7
7200.0,0.0,22.54
10800.0,0.0,22.36
14400.0,0.0,22.17
18000.0,0.0,22.03
21600.0,112.68,26.247
25200.0,321.83,33.06575
28800.0,530.83,39.98075
32400.0,687.6,45.39
36000.0,696.0,46.78
39600.0,695.17,47.58925
43200.0,712.92,48.503
46800.0,538.67,44.32675
50400.0,404.27,40.81675
54000.0,236.35,36.16875
57600.0,86.28,31.917
61200.0,3.42,28.0955
64800.0,0.0,27.16
68400.0,0.0,26.6
72000.0,0.0,25.98
75600.0,0.0,25.47
79200.0,0.0,25.17
82800.0,0.0,24.77
