t_s,G_W_m2,T_cell_C
0.0,0.0,24.0
3600.0,0.0,23.96
7200.0,0.0,23.94
10800.0,0.0,23.84
14400.0,0.0,23.7
18000.0,3.2,23.659999999999997
21600.0,91.6,26.84
25200.0,265.35,32.253750000000004
28800.0,461.23,38.22075
32400.0,566.7,41.7575
36000.0,646.15,44.27375
39600.0,542.72,41.678
43200.0,306.3,35.4975
46800.0,251.75,33.73375
50400.0,242.75,32.98875
54000.0,72.5,28.1625
57600.0,43.08,26.707
61200.0,10.9,25.1525
64800.0,0.0,24.49
68400.0,0.0,24.36
72000.0,0.0,24.27
75600.0,0.0,24.15
79200.0,0.0,23.93
82800.0,0.0,23.67
