t_s,G_W_m2,T_cell_C
0.0,0.0,24.25
3600.0,0.0,24.01
7200.0,0.0,23.77
10800.0,0.0,23.59
14400.0,0.0,23.43
18000.0,2.83,23.53075
21600.0,82.4,26.79
25200.0,350.25,34.63625
28800.0,588.42,41.9005
32400.0,747.53,46.768249999999995
36000.0,772.15,48.19375
39600.0,781.7,49.1125
43200.0,815.88,50.347
46800.0,684.9,47.1525
50400.0,596.38,44.7395
54000.0,317.1,37.3575
57600.0,160.6,32.635
61200.0,28.55,28.14375
64800.0,0.0,26.79
68400.0,0.0,26.5
72000.0,0.0,26.29
75600.0,0.0,25.94
79200.0,0.0,25.56
82800.0,0.0,25.21
